"","Absiella_dolichum","Acetivibrio_ethanolgignens","Agathobaculum_desmolans","Alistipes_finegoldii","Alistipes_obesi","Alistipes_putredinis","Alistipes_senegalensis","Alistipes_shahii","Anaerobutyricum_hallii","Anaerostipes_hadrus","Anaerotignum_lactatifermentans","Anaerotignum_neopropionicum","Anaerotruncus_colihominis","Angelakisella_massiliensis","Bacteroides_barnesiae","Bacteroides_caccae","Bacteroides_caecimuris","Bacteroides_cellulosilyticus","Bacteroides_coprocola","Bacteroides_coprophilus","Bacteroides_dorei","Bacteroides_faecichinchillae","Bacteroides_fluxus","Bacteroides_fragilis","Bacteroides_helcogenes","Bacteroides_heparinolyticus","Bacteroides_nordii","Bacteroides_ovatus","Bacteroides_pectinophilus","Bacteroides_plebeius","Bacteroides_pyogenes","Bacteroides_salanitronis","Bacteroides_salyersiae","Bacteroides_stercoris","Bacteroides_thetaiotaomicron","Bacteroides_uniformis","Bacteroides_vulgatus","Bacteroides_zoogleoformans","Bariatricus_massiliensis","Barnesiella_intestinihominis","Barnesiella_viscericola","Bifidobacterium_catenulatum","Blautia_hansenii","Blautia_hydrogenotrophica","Blautia_obeum","Blautia_producta","Blautia_schinkii","Blautia_sp_N6H1.15","Butyricicoccus_pullicaecorum","Butyricimonas_faecalis","Butyrivibrio_crossotus","Christensenella_minuta","Clostridiales_bacterium_CCNA10","Clostridioides_difficile","Clostridium_asparagiforme","Clostridium_bolteae","Clostridium_citroniae","Clostridium_glycyrrhizinilyticum","Clostridium_innocuum","Clostridium_leptum","Clostridium_methylpentosum","Clostridium_phoceensis","Clostridium_saccharogumia","Clostridium_saccharolyticum","Clostridium_scindens","Clostridium_sp_SY8519","Clostridium_sporogenes","Clostridium_symbiosum","Collinsella_aerofaciens","Coprobacter_fastidiosus","Coprobacter_secundus","Coprococcus_comes","Coprococcus_eutactus","Culturomica_massiliensis","Dorea_formicigenerans","Dorea_longicatena","Eggerthella_lenta","Emergencia_timonensis","Erysipelotrichaceae_bacterium_GAM147","Eubacterium_eligens","Eubacterium_plexicaudatum","Eubacterium_ramulus","Eubacterium_rectale","Eubacterium_ventriosum","Faecalibacterium_prausnitzii","Faecalicatena_contorta","Faecalitalea_cylindroides","Flavonifractor_plautii","Fournierella_massiliensis","Fusicatenibacter_saccharivorans","Gemmiger_formicilis","Granulicatella_adiacens","Haemophilus_parainfluenzae","Hespellia_stercorisuis","Holdemanella_biformis","Holdemania_massiliensis","Hungatella_hathewayi","Intestinibacillus_massiliensis","Intestinibacter_bartlettii","Intestinimonas_butyriciproducens","Johnsonella_ignava","Lachnoanaerobaculum_saburreum","Lachnoclostridium_phocaeense","Lachnoclostridium_sp_YL32","Lachnospiraceae_bacterium_Choco86","Lachnospiraceae_bacterium_GAM79","Lactobacillus_rogosae","Lactonifactor_longoviformis","Marvinbryantia_formatexigens","Massilioclostridium_coli","Mediterranea_massiliensis","Merdibacter_massiliensis","Merdimonas_faecis","Mogibacterium_diversum","Monoglobus_pectinilyticus","Mordavella_sp_Marseille.P3756","Negativibacillus_massiliensis","Neglecta_timonensis","Odoribacter_laneus","Odoribacter_splanchnicus","Oscillibacter_sp_PEA192","Parabacteroides_distasonis","Parabacteroides_goldsteinii","Parabacteroides_johnsonii","Parabacteroides_sp_CT06","Paraprevotella_xylaniphila","Phascolarctobacterium_succinatutens","Phocea_massiliensis","Prevotella_copri","Prevotella_stercorea","Prevotellamassilia_timonensis","Provencibacterium_massiliense","Pseudoflavonifractor_capillosus","Roseburia_faecis","Roseburia_hominis","Roseburia_intestinalis","Roseburia_inulinivorans","Ruminococcus_bicirculans","Ruminococcus_callidus","Ruminococcus_faecis","Ruminococcus_gnavus","Ruminococcus_lactaris","Ruminococcus_torques","Ruthenibacterium_lactatiformans","Schaalia_odontolytica","Sellimonas_intestinalis","Solobacterium_moorei","Streptococcus_mitis","Streptococcus_parasanguinis","Streptococcus_salivarius","Streptococcus_sp_A12","Streptococcus_sp_FDAARGOS_192","Streptococcus_sp_oral_taxon_431","Subdoligranulum_variabile","Traorella_massiliensis","Tyzzerella_nexilis","Veillonella_dispar","bacterium_LF.3"
"1",-1,0,0.0846031778222452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0441129138862268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351171810543586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0655018891057246,0,0,0,0
"2",0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0642158303606197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00645843488047556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0846031778222452,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0354662795849796,0.0859984057812236,0,0.0704718945660795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358300491765138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0707792547860638,0,0,0,0,0,0.0424760876843404,0.0422318944913777,0,0,0,0,0,0.0255439465818291,0,0,0.0361584317283345,0,0,0,0,0,0,-0.0334586167122641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0235471514014128,0,0,0,0,0,0,0,0.00597009078313559,0,0,0,0,0,0,0,0,0,0.0562464497686672,0,0,0,0
"4",0,0,0,-1,0,0,0.0998773263601849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0136529292536553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0375864157867058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",0,0,0,0.0998773263601849,0,0,-1,0.00295011195475308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0.00295011195475308,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.180911061550494,0,0,0.0257329753906342,0,0,0,0,0,0,0,0,0,0.0182536563257559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0271629415894118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0643519672640509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
